A_A_06h_1	A_A_06h_2	A_A_06h_3	A_A_06h_4	A_X_01h_1	A_X_01h_2	A_X_01h_3	A_X_01h_4	A_X_03h_1	A_X_03h_2	A_X_03h_3	A_X_03h_4	A_X_06h_1	A_X_06h_2	A_X_06h_3	A_X_06h_4	A_X_12h_1	A_X_12h_2	A_X_12h_3	A_X_12h_4	D_X_00h_1	D_X_00h_2	D_X_00h_3	D_X_00h_4	M_A_06h_1	M_A_06h_2	M_A_06h_3	M_A_06h_4	M_X_01h_1	M_X_01h_2	M_X_01h_3	M_X_01h_4	M_X_03h_1	M_X_03h_2	M_X_03h_3	M_X_03h_4	M_X_06h_1	M_X_06h_2	M_X_06h_3	M_X_06h_4	M_X_12h_1	M_X_12h_2	M_X_12h_3	M_X_12h_4
ETS1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETS1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETS2-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETS2-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HRA1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ICR1	1	3	1	3	4	2	3	1	1	1	7	2	2	5	3	1	5	5	4	2	12	3	6	5	1	3	6	3	1	3	4	5	0	1	1	6	2	4	4	2	5	5	3	4
IRT1	2	1	0	3	1	5	6	0	0	4	0	2	2	2	3	0	8	4	11	3	7	3	7	12	1	6	4	1	3	2	6	7	0	3	2	3	4	4	1	2	7	4	9	5
ITS1-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS1-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS2-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITS2-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LSR1	334	410	302	236	214	235	198	105	418	488	346	332	447	452	275	93	893	650	516	385	565	641	1668	1611	245	324	440	484	92	106	168	207	56	166	478	328	281	132	516	269	672	585	704	921
NME1	74	48	61	51	91	68	55	47	51	91	38	55	77	70	43	18	193	105	148	121	118	157	149	183	46	78	101	53	63	59	56	91	14	45	73	88	47	50	66	62	150	170	130	159
PWR1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	4	1	1	0	1	0	0	4	0	0	0	1	0	0	0	2	0	0	0	1	0	1	1	0	2	7	1	1
Q0010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0020	8	7	11	4	20	13	7	12	7	4	6	6	12	9	11	5	28	11	24	16	25	22	29	34	14	11	19	9	7	8	19	31	3	8	11	8	2	3	7	6	25	33	31	33
Q0032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0045	20	22	13	13	24	18	11	15	8	9	3	25	8	10	3	4	32	26	40	10	18	23	19	30	13	21	28	14	8	8	9	22	3	11	6	12	12	13	8	8	29	31	20	17
Q0050	37	39	34	36	39	26	26	22	54	33	15	28	66	25	24	11	69	59	57	64	58	76	97	115	56	51	61	49	30	33	39	50	10	32	54	56	39	22	65	51	78	80	64	61
Q0055	9	4	7	1	7	3	4	5	7	2	2	2	8	3	4	0	10	4	7	10	8	15	18	14	7	12	8	5	3	5	5	7	1	3	5	6	9	5	12	7	13	18	10	13
Q0060	0	0	0	1	1	1	0	0	1	0	0	1	1	0	3	0	2	2	4	1	0	2	2	2	0	0	0	2	1	1	1	2	0	1	2	0	1	0	0	0	1	0	0	5
Q0065	7	5	1	1	5	0	2	2	6	1	0	0	5	1	5	1	2	2	4	6	7	3	6	2	5	3	4	2	1	2	2	4	0	4	2	2	2	2	7	4	4	1	3	5
Q0070	0	0	1	0	1	0	0	1	0	0	0	0	4	0	0	1	2	2	2	2	0	2	0	1	0	1	1	0	0	1	3	1	2	2	0	1	0	1	4	0	1	2	1	1
Q0075	0	0	0	0	0	0	2	1	0	0	1	0	0	1	0	0	2	0	1	2	0	1	2	2	0	0	2	0	1	1	1	0	0	2	4	0	1	0	1	0	1	2	0	1
Q0080	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Q0085	6	3	7	9	11	14	5	10	6	2	4	6	6	1	3	2	11	15	9	13	2	9	7	18	8	2	10	9	3	9	7	11	2	4	3	8	6	2	2	1	10	8	13	9
Q0092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0105	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	3	1	0	1	0	0	0	2	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0
Q0110	2	0	3	4	2	1	0	0	0	0	1	1	2	1	0	0	0	1	1	5	3	1	4	7	3	0	4	2	1	2	1	1	0	0	2	0	2	2	3	0	2	1	6	1
Q0115	2	0	1	0	0	0	1	1	0	1	0	0	4	1	0	1	3	3	1	4	2	4	0	2	1	4	4	1	0	2	2	5	0	0	0	1	0	0	1	0	3	7	5	2
Q0120	2	0	0	0	4	3	0	1	0	2	1	0	4	0	1	0	1	1	2	1	4	7	1	1	0	1	0	1	0	3	2	2	0	0	2	1	1	1	1	4	4	4	7	1
Q0130	56	55	66	57	96	56	49	71	48	38	28	67	62	41	33	21	127	94	120	116	96	115	117	153	49	79	103	67	38	69	76	106	12	53	46	56	44	52	41	40	168	195	97	120
Q0140	4	2	4	3	5	1	2	4	1	1	2	3	2	0	2	4	2	5	3	7	5	4	6	8	2	5	1	5	3	2	7	3	1	2	2	3	6	8	6	5	9	20	7	10
Q0142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Q0143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
Q0144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0158	289	132	175	181	353	222	174	115	163	198	60	106	185	160	96	70	486	429	567	439	398	386	340	359	254	312	344	153	183	324	422	439	107	248	301	250	189	265	279	202	751	893	479	405
Q0160	3	1	1	0	1	0	2	0	2	1	2	0	1	2	0	0	2	0	3	2	1	3	1	1	1	0	2	0	2	1	0	0	1	1	1	0	0	1	0	2	5	3	4	3
Q0182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q0250	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Q0255	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Q0275	1	0	0	0	0	0	1	0	0	2	0	1	2	0	1	0	0	1	0	0	1	3	2	2	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0
Q0285	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
Q0297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDN18-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDN18-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDN25-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDN25-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDN37-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDN37-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDN5-1	6	2	5	3	6	6	5	3	4	5	0	4	1	2	1	1	11	7	11	3	6	9	11	15	0	10	5	9	4	3	6	4	4	4	1	3	3	5	0	2	9	10	8	11
RDN5-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDN5-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDN5-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDN5-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDN5-6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
RDN58-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RDN58-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RME2	5	5	4	11	10	12	6	4	7	20	4	4	18	9	9	5	19	15	12	5	5	20	15	21	11	13	16	5	5	5	10	10	2	6	16	12	7	2	13	8	16	14	12	8
RME3	5	0	3	4	4	3	3	5	5	1	1	5	5	3	4	2	6	10	10	5	6	4	9	10	3	6	8	3	5	4	3	7	1	3	6	6	3	2	2	4	9	12	8	11
RNA170	4	5	7	3	5	7	5	6	4	8	4	6	5	3	1	3	12	13	19	10	16	16	18	20	4	4	6	1	8	4	2	8	1	7	7	8	4	9	8	4	14	13	10	17
RPR1	59	51	51	68	78	72	53	39	89	93	42	52	74	60	41	18	147	126	161	88	135	141	171	194	71	91	91	54	49	56	69	84	14	59	77	69	42	67	75	79	162	141	157	154
RUF20	4	4	5	7	5	3	5	6	8	9	2	3	7	2	1	3	8	5	10	11	7	10	11	13	5	6	6	9	6	7	8	12	1	2	4	12	0	5	3	7	17	15	6	7
RUF21	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0
RUF22	0	1	1	0	0	0	1	0	0	1	0	0	1	1	0	0	2	1	0	1	0	1	1	1	2	2	1	0	1	1	1	3	1	0	0	2	2	0	1	1	1	0	3	2
RUF23	0	0	1	0	2	1	0	1	1	2	0	1	0	1	0	1	3	1	4	1	0	4	1	2	0	0	0	0	0	2	2	1	0	0	1	1	2	2	0	1	2	0	0	5
RUF5-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RUF5-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCR1	464	326	358	403	533	455	387	319	432	560	278	401	515	430	343	132	1060	857	1085	707	826	975	1149	1339	360	541	688	362	378	315	517	614	144	298	550	582	342	419	458	514	1045	1051	871	1184
SRG1	8	8	8	9	14	7	15	9	11	10	10	7	14	10	5	2	21	22	26	20	19	27	17	19	9	8	19	16	11	11	11	12	2	2	12	18	7	13	12	18	18	20	19	20
YAL001C	10	5	10	11	9	7	4	12	11	14	9	8	10	10	3	4	22	16	20	14	16	17	21	21	12	16	16	12	9	10	12	13	0	5	17	10	6	10	9	8	19	20	23	28
YAL002W	7	2	4	6	9	12	5	3	6	7	4	5	11	8	6	4	17	21	24	5	10	16	12	26	0	9	14	9	8	9	11	21	6	5	13	12	6	5	6	11	19	25	10	7
YAL003W	209	167	190	207	368	249	222	189	209	270	128	162	255	204	164	65	434	395	408	286	327	402	401	474	222	265	379	197	174	229	342	376	80	189	271	310	204	225	266	270	438	495	353	441
YAL004W	1	2	1	2	0	0	0	1	0	1	0	0	0	3	2	0	1	0	0	0	0	0	0	1	1	1	0	2	0	0	0	0	0	1	0	1	1	0	2	2	0	0	0	0
YAL005C	224	127	155	159	280	175	159	148	155	178	113	162	197	167	125	54	394	279	399	222	281	328	357	431	205	237	315	191	161	136	197	266	52	149	182	228	146	173	207	214	336	399	339	376
YAL007C	17	16	29	21	17	24	19	21	21	28	10	34	26	34	15	12	35	28	40	28	24	30	39	41	29	27	25	19	14	16	31	29	3	15	30	20	12	24	31	18	31	48	29	26
