name	seg_comp	component 	vol_per_comp	pixel_bright_sum_per_comp	mean_pixel_bright_per_comp	compactness_per_comp	sphericity_per_comp
DRY\DRY ICL 13042024_006\test_component01.seg	1	Cytoplasm	43008000	32415	926,1428571	22,78653377	0,333692525
DRY\DRY ICL 13042024_006\test_component01.seg	2	Cytoplasm	39321600	33697	1053,03125	19,05096903	1,053520413
DRY\DRY ICL 13042024_006\test_component01.seg	3	Cytoplasm	28262400	21126	918,5217391	20,67258945	0,846311971
DRY\DRY ICL 13042024_006\test_component01.seg	4	Cytoplasm	15974400	13068	1005,230769	20,43604576	0,643751024
DRY\DRY ICL 13042024_006\test_component02.seg	1	Cytoplasm	70041600	56156	985,1929825	22,83282853	0,379194525
DRY\DRY ICL 13042024_006\test_component02.seg	2	Cytoplasm	51609600	38498	916,6190476	26,014664	0,133183072
DRY\DRY ICL 13042024_006\test_component02.seg	3	Mixed	30720000	26530	1061,2	18,68536796	1,082155668
DRY\DRY ICL 13042024_006\test_component02.seg	4	Cytoplasm	27033600	18829	855,8636364	22,76220345	0,809515799
DRY\DRY ICL 13042024_006\test_component03.seg	1	Cytoplasm	305971200	225148	904,2088353	31,23044391	0,164101087
DRY\DRY ICL 13042024_006\test_component03.seg	2	Cytoplasm	113049600	91482	994,3695652	21,96050854	0,362304159
DRY\DRY ICL 13042024_006\test_component03.seg	3	Cytoplasm	43008000	32111	917,4571429	25,4062356	0,102411152
DRY\DRY ICL 13042024_006\test_component03.seg	4	Cytoplasm	38092800	25553	824,2903226	25,08856759	0,273859704
DRY\DRY ICL 13042024_006\test_component03.seg	5	Cytoplasm	24576000	18924	946,2	26,9218853	0,199993015
DRY\DRY ICL 13042024_006\test_component03.seg	6	Cytoplasm	13516800	10872	988,3636364	18,52779068	2,100972245
DRY\DRY ICL 13042024_006\test_component04.seg	1	Nucleus	143769600	176246	1506,376068	23,350721	0,27693585
DRY\DRY ICL 13042024_006\test_component04.seg	2	Mixed	18432000	18282	1218,8	22,68122137	0,742789643
DRY\DRY ICL 13042024_006\test_component04.seg	3	Cytoplasm	14745600	11522	960,1666667	17,51177889	1,532676584
DRY\DRY ICL 13042024_006\test_component04.seg	4	Cytoplasm	12288000	10090	1009	16,90283671	2,831018181
DRY\DRY ICL 13042024_006\test_component05.seg	1	Nucleus	31948800	32967	1267,961538	19,48567141	1,125441894
DRY\DRY ICL 13042024_006\test_component05.seg	2	Nucleus	23347200	30057	1581,947368	19,9095551	0,673056846
DRY\DRY ICL 13042024_006\test_component06.seg	1	Cytoplasm	33177600	30454	1127,925926	21,2468937	0,888907849
DRY\DRY ICL 13042024_006\test_component06.seg	2	Cytoplasm	14745600	12363	1030,25	19,50459033	0,766899277
DRY\DRY ICL 13042024_006\test_component07.seg	1	Cytoplasm	79872000	55909	860,1384615	27,13508575	0,18109526
DRY\DRY ICL 13042024_006\test_component07.seg	2	Cytoplasm	51609600	51284	1221,047619	23,84615479	0,335518433
DRY\DRY ICL 13042024_006\test_component07.seg	3	Nucleus	27033600	35222	1601	23,41773009	0,231096697
DRY\DRY ICL 13042024_006\test_component07.seg	4	Cytoplasm	18432000	17618	1174,533333	17,3965897	1,501374115
DRY\DRY ICL 13042024_006\test_component08.seg	1	Cytoplasm	65126400	51249	966,9622642	23,46113339	0,375447319
DRY\DRY ICL 13042024_006\test_component08.seg	2	Cytoplasm	20889600	16038	943,4117647	22,88133226	0,841828263
DRY\DRY ICL 13042024_006\test_component08.seg	3	Cytoplasm	14745600	15434	1286,166667	17,51177889	1,532676584
DRY\DRY ICL 13042024_006\test_component09.seg	1	Cytoplasm	172032000	171081	1222,007143	36,59394453	0,143270985
DRY\DRY ICL 13042024_006\test_component09.seg	2	Cytoplasm	51609600	52118	1240,904762	28,32959746	0,309357026
