name	seg_comp	component 	vol_per_comp	pixel_bright_sum_per_comp	mean_pixel_bright_per_comp	compactness_per_comp	sphericity_per_comp
DRY LEA MICHAL_ SEGMENT\LEA_DRY_110125_016\test_component01.seg	1	Cytoplasm	18352000	6841	184,8918919	27,95119333	0,130442375
DRY LEA MICHAL_ SEGMENT\LEA_DRY_110125_016\test_component01.seg	2	Cytoplasm	8432000	2914	171,4117647	28,39716206	0,429065462
DRY LEA MICHAL_ SEGMENT\LEA_DRY_110125_016\test_component01.seg	3	Cytoplasm	8432000	2586	152,1176471	21,87192044	0,429065462
DRY LEA MICHAL_ SEGMENT\LEA_DRY_110125_016\test_component01.seg	4	Cytoplasm	5952000	2136	178	24,89282148	0,338445081
DRY LEA MICHAL_ SEGMENT\LEA_DRY_110125_016\test_component01.seg	5	Cytoplasm	5456000	1913	173,9090909	26,69160978	0,310241324
DRY LEA MICHAL_ SEGMENT\LEA_DRY_110125_016\test_component02.seg	1	Cytoplasm	4960000	1660	166	18,79546129	4,680616726
DRY LEA MICHAL_ SEGMENT\LEA_DRY_110125_016\test_component03.seg	1	Cytoplasm	31744000	14584	227,875	26,00532931	0,208575407
DRY LEA MICHAL_ SEGMENT\LEA_DRY_110125_016\test_component04.seg	1	Cytoplasm	30256000	10402	170,5245902	28,8996654	0,064378125
DRY LEA MICHAL_ SEGMENT\LEA_DRY_110125_016\test_component04.seg	2	Cytoplasm	11904000	5818	242,4166667	30,84814876	0,090273768
DRY LEA MICHAL_ SEGMENT\LEA_DRY_110125_016\test_component05.seg	1	Cytoplasm	15376000	4959	159,9677419	24,78218898	0,574703494
DRY LEA MICHAL_ SEGMENT\LEA_DRY_110125_016\test_component05.seg	2	Cytoplasm	14384000	4673	161,137931	22,831306	0,634507029
DRY LEA MICHAL_ SEGMENT\LEA_DRY_110125_016\test_component05.seg	3	Mixed	13888000	8062	287,9285714	29,14603118	0,104688742
DRY LEA MICHAL_ SEGMENT\LEA_DRY_110125_016\test_component05.seg	4	Cytoplasm	4960000	1523	152,3	18,79546129	3,15782495
DRY LEA MICHAL_ SEGMENT\LEA_DRY_110125_016\test_component06.seg	1	Cytoplasm	21824000	8453	192,1136364	26,65188066	0,161596361
DRY LEA MICHAL_ SEGMENT\LEA_DRY_110125_016\test_component06.seg	2	Cytoplasm	21328000	8153	189,6046512	27,97920893	0,151595192
DRY LEA MICHAL_ SEGMENT\LEA_DRY_110125_016\test_component06.seg	3	Mixed	5952000	4218	351,5	27,82813383	0,302869738
DRY LEA MICHAL_ SEGMENT\LEA_DRY_110125_016\test_component07.seg	1	Cytoplasm	18352000	8228	222,3783784	29,16368492	0,138338695
DRY LEA MICHAL_ SEGMENT\LEA_DRY_110125_016\test_component07.seg	2	Cytoplasm	5456000	1910	173,6363636	25,771261	0,310241324
