gene_id	At_name	Bn_name
GSBRNA2T00000001001	AT1G63650	BnaC09g12820D
GSBRNA2T00000003001	AT1G63660	BnaC09g12810D
GSBRNA2T00000005001	AT1G63670	BnaC09g12800D
GSBRNA2T00000007001	AT3G30165	BnaC09g12790D
GSBRNA2T00000008001	AT1G63690	BnaC09g12780D
GSBRNA2T00000009001	AT1G63700	BnaC09g12770D
GSBRNA2T00000011001	AT1G63730	BnaC09g12760D
GSBRNA2T00000012001	AT1G63780	BnaC09g12750D
GSBRNA2T00000015001	AT1G63820	BnaC09g12740D
GSBRNA2T00000016001	AT1G64680	BnaC09g12730D
GSBRNA2T00000017001	AT1G64680	BnaC09g12720D
GSBRNA2T00000018001	AT1G64690	BnaC09g12710D
GSBRNA2T00000020001	AT1G63840	BnaC09g12690D
GSBRNA2T00000022001	AT1G63850	BnaC09g12680D
GSBRNA2T00000026001	AT5G58120	BnaC09g12670D
GSBRNA2T00000027001	AT1G63740	BnaC09g12660D
GSBRNA2T00000028001	AT1G63880	BnaC09g12650D
GSBRNA2T00000029001	AT1G63870	BnaC09g12640D
GSBRNA2T00000030001	AT1G63880	BnaC09g12630D
GSBRNA2T00000037001	AT2G16870	BnaC09g12600D
GSBRNA2T00000039001	AT1G56540	BnaC09g12580D
GSBRNA2T00000041001	AT1G63880	BnaC09g12570D
GSBRNA2T00000042001	AT2G16870	BnaC09g12560D
GSBRNA2T00000046001	AT4G17713	BnaC09g12540D
GSBRNA2T00000047001	AT1G63910	BnaC09g12530D
GSBRNA2T00000049001	AT1G63970	BnaC09g12520D
GSBRNA2T00000050001	AT1G63980	BnaC09g12510D
GSBRNA2T00000054001	AT1G64050	BnaC09g12500D
GSBRNA2T00000056001	AT1G64060	BnaC09g12490D
GSBRNA2T00000058001	AT1G64065	BnaC09g12480D
GSBRNA2T00000060001	AT1G64080	BnaC09g12460D
GSBRNA2T00000065001	AT1G64090	BnaC09g12430D
GSBRNA2T00000066001	AT1G64107	BnaC09g12420D
GSBRNA2T00000067001	AT1G64107	BnaC09g12410D
GSBRNA2T00000068001	AT1G64107	BnaC09g12400D
GSBRNA2T00000069001	AT1G64107	BnaC09g12390D
GSBRNA2T00000072001	AT1G64107	BnaC09g12370D
GSBRNA2T00000073001	AT1G64110	BnaC09g12360D
GSBRNA2T00000075001	AT1G64140	BnaC09g12350D
GSBRNA2T00000078001	AT1G64150	BnaC09g12340D
GSBRNA2T00000079001	AT1G64185	BnaC09g12330D
GSBRNA2T00000080001	AT1G64195	BnaC09g12320D
GSBRNA2T00000081001	AT1G64200	BnaC09g12310D
GSBRNA2T00000082001	AT1G64210	BnaC09g12300D
GSBRNA2T00000083001	AT1G64220	BnaC09g12290D
GSBRNA2T00000084001	AT5G53300	BnaC09g12280D
GSBRNA2T00000087001	AT3G04320	BnaC09g12270D
GSBRNA2T00000095001	AT1G64350	BnaC09g12260D
GSBRNA2T00000097001	AT1G64370	BnaC09g12250D
GSBRNA2T00000098001	AT1G64380	BnaC09g12240D
GSBRNA2T00000101001	AT1G64390	BnaC09g12230D
GSBRNA2T00000106001	AT1G64405	BnaC09g12200D
GSBRNA2T00000107001	AT1G64430	BnaC09g12190D
GSBRNA2T00000108001	AT1G64440	BnaC09g12180D
GSBRNA2T00000109001	AT4G23930	BnaC09g12170D
GSBRNA2T00000110001	AT2G46500	BnaC09g12160D
GSBRNA2T00000118001	AT1G64550	BnaC09g12130D
GSBRNA2T00000119001	AT1G64570	BnaC09g12120D
GSBRNA2T00000120001	AT1G64550	BnaC09g12110D
GSBRNA2T00000121001	AT1G64580	BnaC09g12100D
GSBRNA2T00000128001	AT1G64600	BnaC09g12090D
GSBRNA2T00000130001	AT1G58030	BnaC09g12080D
GSBRNA2T00000138001	AT1G64620	BnaC09g12040D
GSBRNA2T00000139001	AT1G64660	BnaC09g12030D
GSBRNA2T00000146001	AT3G12900	BnaA05g26300D
GSBRNA2T00000147001	AT3G12890	BnaA05g26310D
GSBRNA2T00000148001	AT3G12880	BnaA05g26320D
GSBRNA2T00000149001	AT3G12870	BnaA05g26330D
GSBRNA2T00000150001	AT1G56110	BnaA05g26340D
GSBRNA2T00000152001	AT3G12860	BnaA05g26350D
GSBRNA2T00000154001	AT3G12830	BnaA05g26360D
GSBRNA2T00000155001	AT3G12810	BnaA05g26370D
GSBRNA2T00000156001	AT3G12800	BnaA05g26380D
GSBRNA2T00000157001	AT3G12775	BnaA05g26390D
GSBRNA2T00000158001	AT3G12770	BnaA05g26400D
GSBRNA2T00000159001	AT3G12760	BnaA05g26410D
GSBRNA2T00000160001	AT3G12750	BnaA05g26420D
GSBRNA2T00000161001	AT3G12740	BnaA05g26430D
GSBRNA2T00000162001	AT3G12730	BnaA05g26440D
GSBRNA2T00000163001	AT3G12720	BnaA05g26450D
GSBRNA2T00000164001	AT1G06800	BnaA05g26460D
GSBRNA2T00000165001	AT3G12710	BnaA05g26470D
GSBRNA2T00000166001	AT3G12700	BnaA05g26480D
GSBRNA2T00000167001	AT3G12700	BnaA05g26490D
GSBRNA2T00000168001	AT3G12690	BnaA05g26500D
GSBRNA2T00000169001	AT3G12680	BnaA05g26510D
GSBRNA2T00000170001	AT3G12670	BnaA05g26520D
GSBRNA2T00000172001	AT3G12660	BnaA05g26530D
GSBRNA2T00000173001	AT3G12650	BnaA05g26540D
GSBRNA2T00000175001	AT3G12630	BnaA05g26550D
GSBRNA2T00000176001	AT3G12620	BnaA05g26560D
GSBRNA2T00000178001	AT3G12600	BnaA05g26570D
GSBRNA2T00000182001	AT3G12560	BnaA05g26590D
GSBRNA2T00000183001	AT3G12550	BnaA05g26600D
GSBRNA2T00000184001	AT3G11825	BnaA05g26610D
GSBRNA2T00000185001	AT3G12540	BnaA05g26620D
GSBRNA2T00000188001	AT3G12500	BnaA05g26640D
GSBRNA2T00000189001	AT3G12490	BnaA05g26650D
GSBRNA2T00000191001	AT3G12490	BnaA05g26660D
GSBRNA2T00000193001	AT3G12480	BnaA05g26680D
GSBRNA2T00000194001	AT3G12390	BnaA05g26690D
GSBRNA2T00000195001	AT3G12380	BnaA05g26700D
GSBRNA2T00000196001	AT3G12370	BnaA05g26710D
GSBRNA2T00000197001	AT3G12360	BnaA05g26720D
GSBRNA2T00000198001	AT3G12345	BnaA05g26730D
GSBRNA2T00000199001	AT3G12320	BnaA05g26740D
GSBRNA2T00000200001	AT3G12290	BnaA05g26750D
GSBRNA2T00000201001	AT3G12280	BnaA05g26760D
GSBRNA2T00000202001	AT3G12270	BnaA05g26770D
GSBRNA2T00000203001	AT3G12260	BnaA05g26780D
GSBRNA2T00000204001	AT3G12250	BnaA05g26790D
GSBRNA2T00000206001	AT3G12210	BnaA05g26800D
GSBRNA2T00000208001	AT3G12180	BnaA05g26810D
GSBRNA2T00000209001	AT3G12170	BnaA05g26820D
GSBRNA2T00000210001	AT3G12160	BnaA05g26830D
GSBRNA2T00000211001	AT3G12145	BnaA05g26840D
GSBRNA2T00000213001	AT3G12145	BnaA05g26860D
GSBRNA2T00000217001	AT3G12145	BnaA05g26870D
GSBRNA2T00000219001	AT1G50920	BnaA05g26880D
GSBRNA2T00000220001	AT3G12130	BnaA05g26890D
GSBRNA2T00000221001	AT3G12120	BnaA05g26900D
GSBRNA2T00000222001	AT3G12110	BnaA05g26910D
GSBRNA2T00000223001	AT3G12100	BnaA05g26920D
GSBRNA2T00000224001	AT3G12090	BnaA05g26930D
GSBRNA2T00000225001	AT3G12080	BnaA05g26940D
GSBRNA2T00000226001	AT3G12060	BnaA05g26950D
GSBRNA2T00000227001	AT3G12050	BnaA05g26960D
GSBRNA2T00000228001	AT3G12050	BnaA05g26970D
GSBRNA2T00000229001	AT3G12040	BnaA05g26980D
GSBRNA2T00000230001	AT5G06670	BnaA05g26990D
GSBRNA2T00000231001	AT1G47470	BnaA05g27000D
GSBRNA2T00000232001	AT1G45190	BnaA05g27010D
