chr	anotation	type	start	end	score	strand	frame	gene	attribute
1	Araport11	gene	3631	5899	.	+	.	AT1G01010	protein_coding
1	Araport11	gene	6788	9130	.	-	.	AT1G01020	protein_coding
1	Araport11	gene	11649	13714	.	-	.	AT1G01030	protein_coding
1	Araport11	gene	23121	31227	.	+	.	AT1G01040	protein_coding
1	Araport11	gene	31170	33171	.	-	.	AT1G01050	protein_coding
1	Araport11	gene	33365	37871	.	-	.	AT1G01060	protein_coding
1	Araport11	gene	38444	41017	.	-	.	AT1G01070	protein_coding
1	Araport11	gene	44970	47059	.	-	.	AT1G01080	protein_coding
1	Araport11	gene	47234	49304	.	-	.	AT1G01090	protein_coding
1	Araport11	gene	49909	51210	.	-	.	AT1G01100	protein_coding
1	Araport11	gene	51953	54737	.	+	.	AT1G01110	protein_coding
1	Araport11	gene	57164	59215	.	-	.	AT1G01120	protein_coding
1	Araport11	gene	61905	63811	.	-	.	AT1G01130	protein_coding
1	Araport11	gene	64166	67774	.	-	.	AT1G01140	protein_coding
1	Araport11	gene	69911	72138	.	-	.	AT1G01150	protein_coding
1	Araport11	gene	72339	74096	.	+	.	AT1G01160	protein_coding
1	Araport11	gene	73931	74737	.	-	.	AT1G01170	protein_coding
1	Araport11	gene	75390	76845	.	+	.	AT1G01180	protein_coding
1	Araport11	gene	82984	84946	.	-	.	AT1G01190	protein_coding
1	Araport11	gene	86486	88409	.	-	.	AT1G01200	protein_coding
1	Araport11	gene	88622	90502	.	+	.	AT1G01210	protein_coding
1	Araport11	gene	91342	95681	.	+	.	AT1G01220	protein_coding
1	Araport11	gene	95935	97407	.	+	.	AT1G01225	protein_coding
1	Araport11	gene	97412	99240	.	+	.	AT1G01230	protein_coding
1	Araport11	gene	99865	101987	.	+	.	AT1G01240	protein_coding
1	Araport11	gene	104440	105330	.	-	.	AT1G01250	protein_coding
1	Araport11	gene	108946	111699	.	+	.	AT1G01260	protein_coding
1	Araport11	gene	111890	111961	72	-	.	AT1G01270	pre_trna
1	Araport11	gene	112263	113947	.	+	.	AT1G01280	protein_coding
1	Araport11	gene	114202	116407	.	+	.	AT1G01290	protein_coding
1	Araport11	gene	116784	118845	.	+	.	AT1G01300	protein_coding
1	Araport11	gene	119381	119997	.	+	.	AT1G01305	protein_coding
1	Araport11	gene	120154	121130	.	+	.	AT1G01310	protein_coding
1	Araport11	gene	121067	130577	.	-	.	AT1G01320	protein_coding
1	Araport11	gene	130736	130858	.	+	.	AT1G01335	protein_coding
1	Araport11	gene	132270	135924	.	-	.	AT1G01340	protein_coding
1	Araport11	gene	136090	138162	.	+	.	AT1G01350	protein_coding
1	Araport11	gene	138489	139680	.	+	.	AT1G01355	protein_coding
1	Araport11	gene	141870	143261	.	+	.	AT1G01360	protein_coding
1	Araport11	gene	143489	146479	.	+	.	AT1G01370	protein_coding
1	Araport11	gene	147043	148014	.	+	.	AT1G01380	protein_coding
1	Araport11	gene	148013	149848	.	-	.	AT1G01390	protein_coding
1	Araport11	gene	150689	152210	.	-	.	AT1G01400	protein_coding
1	Araport11	gene	153113	154198	.	+	.	AT1G01410	protein_coding
1	Araport11	gene	154367	156178	.	-	.	AT1G01420	protein_coding
1	Araport11	gene	156477	158823	.	-	.	AT1G01430	protein_coding
1	Araport11	gene	159628	162953	.	-	.	AT1G01440	protein_coding
1	Araport11	gene	163278	166353	.	+	.	AT1G01448	antisense_long_noncoding_rna
1	Araport11	gene	164105	165517	.	-	.	AT1G01450	protein_coding
1	Araport11	gene	166589	168088	.	-	.	AT1G01453	protein_coding
